,Image_ID,class,confidence,x_center,y_center,width,height
45,ID_4R4QCYW6,fruit_brownspot,0.33638,0.871094,0.414062,0.257812,0.785156
46,ID_4R4QCYW6,fruit_brownspot,0.821916,0.480469,0.380859,0.617188,0.761719
47,ID_6P649DXO,fruit_woodiness,0.94175,0.369141,0.560547,0.703125,0.457031
48,ID_MRYNE355,fruit_healthy,0.797672,0.506836,0.588867,0.533203,0.513672
49,ID_MRYNE355,fruit_woodiness,0.833132,0.709961,0.207031,0.537109,0.410156
50,ID_TDNATB5X,fruit_healthy,0.587019,0.482422,0.59668,0.515625,0.416016
51,ID_TDNATB5X,fruit_woodiness,0.619904,0.482422,0.597656,0.511719,0.441406
52,ID_EU4K6HRZ,fruit_brownspot,0.531048,0.672852,0.46582,0.310547,0.408203
53,ID_EU4K6HRZ,fruit_woodiness,0.592264,0.680664,0.46582,0.287109,0.416016
54,ID_EU4K6HRZ,fruit_brownspot,0.870659,0.348633,0.711914,0.451172,0.576172
55,ID_H5DCRTEG,fruit_brownspot,0.474706,0.0498047,0.21582,0.0996094,0.373047
56,ID_H5DCRTEG,fruit_healthy,0.528508,0.0498047,0.213867,0.0996094,0.353516
57,ID_H5DCRTEG,fruit_brownspot,0.56857,0.387695,0.515625,0.732422,0.4375
58,ID_C6Z44A1C,fruit_brownspot,0.914371,0.479492,0.121094,0.216797,0.242188
59,ID_C6Z44A1C,fruit_brownspot,0.923064,0.5625,0.474609,0.269531,0.332031
60,ID_DH2AL0PJ,fruit_woodiness,0.392578,0.43457,0.520508,0.798828,0.810547
61,ID_3XQTJWSF,fruit_woodiness,0.920817,0.34668,0.442383,0.455078,0.591797
62,ID_MO5ZV9AN,fruit_healthy,0.693095,0.0517578,0.769531,0.103516,0.460938
63,ID_MO5ZV9AN,fruit_woodiness,0.957819,0.500977,0.423828,0.490234,0.378906
64,ID_7BJ3F5LJ,fruit_brownspot,0.730842,0.621094,0.589844,0.242188,0.3125
65,ID_SQT62PKL,fruit_brownspot,0.590966,0.644531,0.183594,0.394531,0.363281
66,ID_SQT62PKL,fruit_woodiness,0.616918,0.643555,0.182617,0.392578,0.361328
67,ID_BJ0U4H1I,fruit_brownspot,0.640972,0.526367,0.53418,0.357422,0.400391
68,ID_BJ0U4H1I,fruit_brownspot,0.731736,0.838867,0.280273,0.322266,0.400391
69,ID_QO92QTCV,fruit_healthy,0.968304,0.509766,0.501953,0.625,0.507812
70,ID_BK5WP0KQ,fruit_woodiness,0.906358,0.483398,0.503906,0.685547,0.464844
71,ID_7K7O8Z7P,fruit_healthy,0.336071,0.0341797,0.506836,0.0644531,0.0644531
72,ID_7K7O8Z7P,fruit_healthy,0.96974,0.386719,0.506836,0.457031,0.373047
73,ID_27XRLVUQ,fruit_healthy,0.953607,0.474609,0.0888672,0.277344,0.177734
74,ID_MB3JQUG9,fruit_woodiness,0.291981,0.898438,0.475586,0.203125,0.400391
75,ID_MB3JQUG9,fruit_woodiness,0.844423,0.499023,0.375977,0.396484,0.474609
76,ID_3RB1QT97,fruit_woodiness,0.928705,0.316406,0.323242,0.535156,0.646484
77,ID_8E9BD6ZM,fruit_healthy,0.650409,0.211914,0.527344,0.166016,0.222656
78,ID_8E9BD6ZM,fruit_healthy,0.972296,0.425781,0.55957,0.445312,0.349609
79,ID_XLQEN1YF,fruit_woodiness,0.525302,0.566406,0.425781,0.726562,0.40625
80,ID_N8FMQUR6,fruit_healthy,0.733689,0.90918,0.94043,0.181641,0.119141
81,ID_N8FMQUR6,fruit_woodiness,0.957168,0.405273,0.472656,0.451172,0.277344
82,ID_G28R4R5O,fruit_woodiness,0.943972,0.530273,0.375,0.587891,0.75
83,ID_COAPR3YB,fruit_woodiness,0.908391,0.56543,0.569336,0.537109,0.294922
84,ID_O7STSQRP,fruit_brownspot,0.875587,0.450195,0.464844,0.595703,0.351562
85,ID_CB3BFS91,fruit_brownspot,0.700716,0.543945,0.540039,0.822266,0.505859
86,ID_DWGTUEUI,fruit_brownspot,0.885057,0.445312,0.639648,0.558594,0.294922
87,ID_RHS4PD51,fruit_woodiness,0.606206,0.892578,0.207031,0.214844,0.414062
88,ID_RHS4PD51,fruit_brownspot,0.832417,0.477539,0.663086,0.443359,0.666016
89,ID_9U9RI64Z,fruit_healthy,0.958602,0.454102,0.533203,0.310547,0.234375
90,ID_Z845LMVP,fruit_woodiness,0.656735,0.886719,0.323242,0.125,0.193359
91,ID_5ZYK6CZL,fruit_brownspot,0.930751,0.323242,0.512695,0.470703,0.552734
92,ID_BKEY6BCT,fruit_brownspot,0.512942,0.411133,0.520508,0.509766,0.310547
93,ID_BKEY6BCT,fruit_woodiness,0.594074,0.410156,0.518555,0.5,0.310547
94,ID_NJQS120W,fruit_healthy,0.295857,0.703125,0.691406,0.109375,0.09375
95,ID_NJQS120W,fruit_healthy,0.972414,0.470703,0.594727,0.390625,0.333984
96,ID_9UR27K3W,fruit_woodiness,0.817389,0.6875,0.628906,0.625,0.738281
97,ID_KK9DTWM9,fruit_healthy,0.979676,0.47168,0.444336,0.451172,0.396484
98,ID_2M7S2WS9,fruit_brownspot,0.899129,0.366211,0.664062,0.302734,0.367188
99,ID_U6YW22OK,fruit_woodiness,0.77344,0.506836,0.683594,0.662109,0.554688
100,ID_2S8RECZB,fruit_brownspot,0.851871,0.689453,0.395508,0.539062,0.357422
101,ID_E6QWFBRQ,fruit_healthy,0.969384,0.420898,0.570312,0.380859,0.320312
102,ID_W0VS8GW0,fruit_healthy,0.965758,0.477539,0.496094,0.361328,0.300781
103,ID_P4U78SQ7,fruit_healthy,0.355169,0.875,0.939453,0.25,0.121094
104,ID_P4U78SQ7,fruit_healthy,0.787063,0.71875,0.870117,0.546875,0.255859
105,ID_P4U78SQ7,fruit_woodiness,0.964432,0.321289,0.509766,0.548828,0.378906
106,ID_8PHRVUZZ,fruit_healthy,0.974356,0.458984,0.506836,0.5,0.435547
107,ID_1P0GC55S,fruit_brownspot,0.919825,0.477539,0.415039,0.376953,0.494141
108,ID_EQSB1TFI,fruit_healthy,0.959487,0.401367,0.556641,0.458984,0.359375
109,ID_H9R25OWO,fruit_healthy,0.970375,0.533203,0.488281,0.675781,0.546875
110,ID_5AL2GIW8,fruit_brownspot,0.929172,0.414062,0.415039,0.460938,0.279297
111,ID_4POYIPYW,fruit_woodiness,0.835521,0.583984,0.430664,0.285156,0.431641
112,ID_4OL1MN86,fruit_brownspot,0.793106,0.489258,0.532227,0.388672,0.455078
113,ID_6WLLDS0U,fruit_brownspot,0.879119,0.472656,0.401367,0.648438,0.427734
114,ID_SDD6851W,fruit_woodiness,0.493451,0.963867,0.319336,0.0722656,0.427734
115,ID_SDD6851W,fruit_brownspot,0.637112,0.413086,0.228516,0.345703,0.457031
116,ID_OJXH1NL8,fruit_healthy,0.29294,0.974609,0.290039,0.0507812,0.318359
117,ID_OJXH1NL8,fruit_healthy,0.807102,0.744141,0.231445,0.3125,0.275391
118,ID_OJXH1NL8,fruit_healthy,0.97143,0.480469,0.535156,0.589844,0.46875
119,ID_Q1RRTUAF,fruit_brownspot,0.563049,0.566406,0.364258,0.230469,0.341797
120,ID_Q1RRTUAF,fruit_woodiness,0.738664,0.56543,0.364258,0.228516,0.322266
121,ID_Q1RRTUAF,fruit_brownspot,0.753195,0.530273,0.930664,0.361328,0.138672
122,ID_OY4BC7ZK,fruit_woodiness,0.961481,0.535156,0.460938,0.59375,0.476562
123,ID_LUQYG317,fruit_brownspot,0.611406,0.394531,0.552734,0.308594,0.1875
124,ID_CVU8X9EB,fruit_woodiness,0.929744,0.732422,0.300781,0.394531,0.511719
125,ID_4IUEY3DB,fruit_brownspot,0.467954,0.514648,0.540039,0.630859,0.365234
126,ID_4IUEY3DB,fruit_woodiness,0.58041,0.518555,0.539062,0.638672,0.363281
127,ID_L4IMI56A,fruit_woodiness,0.397124,0.895508,0.862305,0.208984,0.271484
128,ID_L4IMI56A,fruit_woodiness,0.839862,0.0556641,0.15625,0.111328,0.308594
129,ID_L4IMI56A,fruit_woodiness,0.960402,0.469727,0.448242,0.400391,0.583984
130,ID_UU1WQZT7,fruit_woodiness,0.914525,0.6875,0.603516,0.339844,0.453125
131,ID_8UCHSJ0Y,fruit_brownspot,0.596595,0.459961,0.490234,0.634766,0.382812
132,ID_8UCHSJ0Y,fruit_healthy,0.923903,0.842773,0.232422,0.310547,0.464844
133,ID_ZEVJVZ0O,fruit_woodiness,0.9429,0.37207,0.361328,0.384766,0.554688
134,ID_D5YBIDDT,fruit_woodiness,0.55953,0.419922,0.511719,0.804688,0.535156
135,ID_KCK8FK6G,fruit_brownspot,0.790055,0.530273,0.53125,0.708984,0.320312
136,ID_2DWMW9YR,fruit_woodiness,0.343117,0.582031,0.621094,0.367188,0.484375
137,ID_2DWMW9YR,fruit_brownspot,0.699964,0.584961,0.626953,0.369141,0.46875
138,ID_RFUBQBIM,fruit_healthy,0.26938,0.174805,0.541016,0.130859,0.101562
139,ID_RFUBQBIM,fruit_healthy,0.291566,0.359375,0.0273438,0.164062,0.0546875
140,ID_RFUBQBIM,fruit_healthy,0.323342,0.277344,0.411133,0.15625,0.146484
141,ID_RFUBQBIM,fruit_healthy,0.485911,0.347656,0.295898,0.207031,0.185547
142,ID_RFUBQBIM,fruit_healthy,0.978834,0.514648,0.518555,0.478516,0.423828
143,ID_5YLQDC3X,fruit_brownspot,0.80698,0.52832,0.697266,0.486328,0.589844
144,ID_JATXDIER,fruit_brownspot,0.886608,0.420898,0.462891,0.486328,0.722656
145,ID_ZRBNEHUB,fruit_brownspot,0.875977,0.587891,0.524414,0.25,0.353516
146,ID_XFBYRB5S,fruit_healthy,0.93836,0.447266,0.65625,0.519531,0.433594
147,ID_ZPNDRD4T,fruit_healthy,0.816998,0.952148,0.835938,0.0957031,0.328125
148,ID_ZPNDRD4T,fruit_healthy,0.970975,0.425781,0.588867,0.363281,0.279297
149,ID_TNP5760Q,fruit_healthy,0.954349,0.776367,0.90332,0.447266,0.193359
150,ID_TNP5760Q,fruit_healthy,0.976556,0.433594,0.581055,0.421875,0.345703
151,ID_MO6QQOBM,fruit_healthy,0.573927,0.735352,0.548828,0.224609,0.269531
152,ID_MO6QQOBM,fruit_healthy,0.939358,0.494141,0.501953,0.511719,0.421875
153,ID_HUCDYOI9,fruit_woodiness,0.786506,0.505859,0.399414,0.355469,0.556641
154,ID_WTPCYEEB,fruit_brownspot,0.745253,0.479492,0.516602,0.501953,0.740234
155,ID_M2NJ62TE,fruit_brownspot,0.908951,0.527344,0.428711,0.457031,0.392578
156,ID_WJIAZJCD,fruit_healthy,0.30052,0.03125,0.345703,0.0625,0.0859375
157,ID_WJIAZJCD,fruit_healthy,0.954957,0.386719,0.517578,0.601562,0.460938
158,ID_RD4JDJG1,fruit_woodiness,0.55316,0.458008,0.487305,0.318359,0.408203
159,ID_RD4JDJG1,fruit_brownspot,0.68339,0.458008,0.489258,0.314453,0.404297
160,ID_OLES0AAK,fruit_healthy,0.649857,0.43457,0.475586,0.591797,0.486328
161,ID_OLES0AAK,fruit_healthy,0.942493,0.866211,0.5625,0.263672,0.449219
162,ID_WNH77DVD,fruit_healthy,0.41088,0.719727,0.0449219,0.197266,0.0898438
163,ID_WNH77DVD,fruit_healthy,0.776971,0.0644531,0.470703,0.128906,0.113281
164,ID_WNH77DVD,fruit_healthy,0.902989,0.126953,0.347656,0.171875,0.144531
165,ID_WNH77DVD,fruit_healthy,0.951815,0.34082,0.286133,0.326172,0.240234
166,ID_WNH77DVD,fruit_healthy,0.958431,0.867188,0.330078,0.265625,0.296875
167,ID_WNH77DVD,fruit_healthy,0.978283,0.344727,0.529297,0.400391,0.324219
168,ID_WF7515WR,fruit_brownspot,0.79796,0.216797,0.539062,0.429688,0.335938
169,ID_WF7515WR,fruit_woodiness,0.934554,0.685547,0.451172,0.609375,0.34375
170,ID_P9BJU39R,fruit_woodiness,0.970413,0.265625,0.62793,0.519531,0.482422
171,ID_VS2MLLVX,fruit_woodiness,0.957035,0.458984,0.555664,0.40625,0.369141
172,ID_JE1742JT,fruit_brownspot,0.333004,0.78125,0.0283203,0.386719,0.0566406
173,ID_JE1742JT,fruit_healthy,0.976912,0.438477,0.541016,0.486328,0.390625
174,ID_IZL3B164,fruit_brownspot,0.849263,0.603516,0.53418,0.53125,0.326172
175,ID_AHSYH5YT,fruit_healthy,0.957323,0.451172,0.495117,0.410156,0.337891
176,ID_MVJ3O9ZU,fruit_healthy,0.975473,0.506836,0.583984,0.458984,0.359375
177,ID_HETUZV59,fruit_brownspot,0.375793,0.0810547,0.670898,0.162109,0.513672
178,ID_HETUZV59,fruit_brownspot,0.579004,0.754883,0.330078,0.478516,0.660156
179,ID_HETUZV59,fruit_woodiness,0.629187,0.0820312,0.668945,0.164062,0.521484
180,ID_HETUZV59,fruit_woodiness,0.963986,0.416016,0.729492,0.449219,0.537109
181,ID_HI4TOV0R,fruit_healthy,0.95071,0.600586,0.521484,0.525391,0.390625
182,ID_WT7V5JTR,fruit_brownspot,0.786921,0.457031,0.522461,0.796875,0.474609
183,ID_QVS57JDJ,fruit_healthy,0.578534,0.56543,0.508789,0.275391,0.208984
184,ID_1P1PJGO6,fruit_brownspot,0.909634,0.62793,0.489258,0.322266,0.439453
185,ID_KFWLVLLH,fruit_brownspot,0.926301,0.634766,0.608398,0.417969,0.521484
186,ID_WKMG4KCB,fruit_brownspot,0.875156,0.608398,0.513672,0.521484,0.339844
187,ID_28WDKVCX,fruit_woodiness,0.905666,0.366211,0.455078,0.548828,0.320312
188,ID_YC0ZI4O5,fruit_woodiness,0.819133,0.505859,0.467773,0.796875,0.482422
189,ID_C6O15NKN,fruit_brownspot,0.877946,0.539062,0.633789,0.296875,0.349609
190,ID_C6O15NKN,fruit_brownspot,0.898234,0.672852,0.313477,0.353516,0.443359
191,ID_UG523UNG,fruit_healthy,0.851377,0.916992,0.0556641,0.162109,0.111328
192,ID_UG523UNG,fruit_healthy,0.977524,0.472656,0.509766,0.421875,0.386719
193,ID_JY9M11I5,fruit_brownspot,0.823209,0.481445,0.5,0.541016,0.351562
194,ID_JCG8GM4H,fruit_woodiness,0.526943,0.47168,0.435547,0.810547,0.703125
195,ID_JCG8GM4H,fruit_woodiness,0.905444,0.923828,0.380859,0.152344,0.355469
196,ID_G64LJ8RC,fruit_brownspot,0.83737,0.498047,0.518555,0.480469,0.388672
197,ID_P5J8PGCZ,fruit_healthy,0.972872,0.463867,0.604492,0.548828,0.462891
198,ID_JMMWALI9,fruit_healthy,0.830662,0.487305,0.561523,0.462891,0.353516
199,ID_NNBHPTH0,fruit_healthy,0.898319,0.386719,0.571289,0.292969,0.232422
200,ID_Y6SFRY9V,fruit_healthy,0.281715,0.34668,0.0371094,0.193359,0.0742188
201,ID_Y6SFRY9V,fruit_healthy,0.95332,0.494141,0.648438,0.488281,0.40625
202,ID_1USVOECT,fruit_healthy,0.973991,0.378906,0.62207,0.429688,0.400391
203,ID_VEM803LR,fruit_woodiness,0.957388,0.583984,0.576172,0.4375,0.597656
204,ID_QD7862VQ,fruit_healthy,0.975823,0.415039,0.525391,0.416016,0.351562
205,ID_JN9YW3QQ,fruit_healthy,0.957029,0.426758,0.537109,0.458984,0.402344
206,ID_C7431IBX,fruit_healthy,0.975861,0.413086,0.535156,0.533203,0.410156
207,ID_782YO6L1,fruit_healthy,0.951348,0.433594,0.458984,0.496094,0.402344
208,ID_UKM8AHO1,fruit_brownspot,0.909557,0.485352,0.482422,0.388672,0.457031
209,ID_B9GTAWB7,fruit_healthy,0.752238,0.862305,0.34375,0.271484,0.664062
210,ID_B9GTAWB7,fruit_healthy,0.97774,0.473633,0.591797,0.595703,0.511719
211,ID_4I9TYQOZ,fruit_healthy,0.960769,0.895508,0.238281,0.208984,0.402344
212,ID_4I9TYQOZ,fruit_healthy,0.970392,0.396484,0.513672,0.523438,0.460938
213,ID_KITUXBWQ,fruit_brownspot,0.570063,0.553711,0.576172,0.427734,0.277344
214,ID_SVGHNH7U,fruit_brownspot,0.923878,0.445312,0.425781,0.425781,0.53125
215,ID_MZI5JA74,fruit_brownspot,0.878107,0.480469,0.283203,0.390625,0.503906
216,ID_XCM5FRZR,fruit_brownspot,0.600745,0.577148,0.513672,0.447266,0.269531
217,ID_YFCYTW2U,fruit_brownspot,0.870889,0.538086,0.452148,0.482422,0.587891
218,ID_B8EI3PB5,fruit_woodiness,0.584556,0.881836,0.286133,0.236328,0.521484
219,ID_B8EI3PB5,fruit_brownspot,0.871629,0.408203,0.488281,0.507812,0.796875
220,ID_RQZ6ZO54,fruit_woodiness,0.92194,0.541016,0.457031,0.503906,0.640625
221,ID_SM2WVPZZ,fruit_healthy,0.867719,0.12207,0.344727,0.244141,0.396484
222,ID_SM2WVPZZ,fruit_healthy,0.972695,0.454102,0.489258,0.490234,0.419922
223,ID_RJGOTE05,fruit_healthy,0.977826,0.441406,0.466797,0.433594,0.339844
224,ID_B1P5U18J,fruit_woodiness,0.859161,0.463867,0.466797,0.353516,0.503906
225,ID_Q5LZQZ6P,fruit_healthy,0.979128,0.52832,0.544922,0.462891,0.34375
226,ID_T8G34E9V,fruit_brownspot,0.905644,0.609375,0.506836,0.574219,0.376953
227,ID_2UTEQ1E5,fruit_healthy,0.854682,0.944336,0.853516,0.111328,0.292969
228,ID_2UTEQ1E5,fruit_healthy,0.968417,0.40918,0.623047,0.373047,0.28125
229,ID_K6P2BYIW,fruit_brownspot,0.6873,0.591797,0.366211,0.816406,0.564453
230,ID_M39EONS8,fruit_brownspot,0.747594,0.572266,0.495117,0.316406,0.412109
231,ID_F29H4C3O,fruit_healthy,0.894179,0.568359,0.583008,0.378906,0.302734
232,ID_P3O4EGBB,fruit_woodiness,0.933512,0.585938,0.651367,0.265625,0.361328
233,ID_36ZWFZNA,fruit_woodiness,0.884446,0.685547,0.455078,0.527344,0.707031
234,ID_AHI3H2KG,fruit_woodiness,0.898983,0.513672,0.547852,0.574219,0.798828
235,ID_LXB103OW,fruit_brownspot,0.661086,0.524414,0.544922,0.556641,0.601562
236,ID_M1LN8K7I,fruit_brownspot,0.549963,0.5625,0.59082,0.410156,0.580078
237,ID_YPYCUAVN,fruit_woodiness,0.517178,0.292969,0.509766,0.199219,0.246094
238,ID_YPYCUAVN,fruit_brownspot,0.87254,0.774414,0.214844,0.306641,0.378906
239,ID_GFQ64NUK,fruit_woodiness,0.271302,0.580078,0.463867,0.75,0.599609
240,ID_TLRTDOJY,fruit_healthy,0.660204,0.154297,0.479492,0.21875,0.197266
241,ID_TLRTDOJY,fruit_healthy,0.971695,0.457031,0.500977,0.488281,0.404297
242,ID_QJWLRB4V,fruit_brownspot,0.891806,0.578125,0.401367,0.351562,0.439453
243,ID_V9NEU0UP,fruit_woodiness,0.93637,0.583008,0.644531,0.376953,0.464844
244,ID_AKWZRGDN,fruit_brownspot,0.725278,0.379883,0.625977,0.755859,0.455078
245,ID_FN9VMEJ0,fruit_brownspot,0.938324,0.367188,0.561523,0.601562,0.458984
246,ID_MUYXMWAI,fruit_woodiness,0.404665,0.43457,0.268555,0.263672,0.369141
247,ID_MUYXMWAI,fruit_brownspot,0.59463,0.4375,0.269531,0.265625,0.371094
248,ID_MUYXMWAI,fruit_woodiness,0.798508,0.643555,0.458984,0.298828,0.386719
249,ID_GC1XS2EG,fruit_brownspot,0.808452,0.365234,0.597656,0.722656,0.460938
250,ID_1AN032JF,fruit_woodiness,0.763697,0.517578,0.556641,0.582031,0.714844
251,ID_G9T5HB2U,fruit_brownspot,0.736506,0.564453,0.491211,0.304688,0.431641
252,ID_CGND1FCK,fruit_woodiness,0.93101,0.564453,0.551758,0.449219,0.583984
253,ID_P8OOIKBV,fruit_woodiness,0.761066,0.65332,0.519531,0.646484,0.371094
254,ID_QTZ1HFXJ,fruit_woodiness,0.384566,0.567383,0.5625,0.705078,0.457031
255,ID_M9W9342G,fruit_brownspot,0.503779,0.777344,0.549805,0.445312,0.685547
256,ID_M9W9342G,fruit_brownspot,0.87316,0.335938,0.326172,0.386719,0.199219
257,ID_AAS55WJI,fruit_brownspot,0.47426,0.556641,0.479492,0.484375,0.271484
258,ID_JXUXKHVJ,fruit_brownspot,0.419293,0.5625,0.469727,0.308594,0.365234
259,ID_JXUXKHVJ,fruit_woodiness,0.708817,0.560547,0.46875,0.296875,0.359375
260,ID_JT23YC6X,fruit_healthy,0.971946,0.566406,0.594727,0.492188,0.431641
261,ID_521XJ2ND,fruit_woodiness,0.660296,0.433594,0.512695,0.496094,0.291016
262,ID_L4UMREDN,fruit_woodiness,0.96081,0.419922,0.478516,0.484375,0.769531
263,ID_R7H0WRPT,fruit_brownspot,0.652181,0.580078,0.509766,0.425781,0.488281
264,ID_JCAFAX30,fruit_brownspot,0.831835,0.499023,0.483398,0.544922,0.353516
265,ID_JJDUKUZU,fruit_woodiness,0.876861,0.514648,0.930664,0.220703,0.138672
266,ID_JJDUKUZU,fruit_healthy,0.955335,0.439453,0.553711,0.359375,0.294922
267,ID_5CGNNZE1,fruit_woodiness,0.916045,0.629883,0.495117,0.533203,0.763672
268,ID_49JXNZ0T,fruit_woodiness,0.71796,0.129883,0.93457,0.259766,0.130859
269,ID_49JXNZ0T,fruit_brownspot,0.867533,0.688477,0.453125,0.568359,0.332031
270,ID_R9D0ABDV,fruit_woodiness,0.725271,0.116211,0.0429688,0.232422,0.0859375
271,ID_R9D0ABDV,fruit_woodiness,0.94409,0.427734,0.569336,0.335938,0.451172
272,ID_A3089GJH,fruit_brownspot,0.847957,0.689453,0.521484,0.328125,0.414062
273,ID_BUV860JZ,fruit_brownspot,0.796821,0.540039,0.850586,0.271484,0.298828
274,ID_BUV860JZ,fruit_brownspot,0.808199,0.571289,0.370117,0.275391,0.408203
275,ID_QCTB17VM,fruit_woodiness,0.632492,0.484375,0.523438,0.570312,0.363281
276,ID_QCTB17VM,fruit_healthy,0.831454,0.483398,0.524414,0.576172,0.361328
277,ID_83ZMGMQ1,fruit_woodiness,0.412824,0.0947266,0.933594,0.189453,0.132812
278,ID_83ZMGMQ1,fruit_brownspot,0.774529,0.581055,0.432617,0.544922,0.333984
279,ID_XWHGY1LA,fruit_woodiness,0.813754,0.380859,0.414062,0.332031,0.453125
280,ID_XRYNJLES,fruit_brownspot,0.899513,0.490234,0.522461,0.324219,0.431641
281,ID_OAD1WBG0,fruit_brownspot,0.441608,0.750977,0.464844,0.240234,0.273438
282,ID_OAD1WBG0,fruit_brownspot,0.83607,0.624023,0.714844,0.263672,0.339844
283,ID_YVKZLZSX,fruit_brownspot,0.781841,0.332031,0.476562,0.660156,0.425781
284,ID_NJ6YKKOG,fruit_woodiness,0.856201,0.435547,0.429688,0.242188,0.335938
285,ID_T1H3UT4H,fruit_brownspot,0.698354,0.624023,0.541992,0.736328,0.419922
286,ID_7KGER4KW,fruit_brownspot,0.889941,0.498047,0.482422,0.316406,0.402344
287,ID_5IWRWURV,fruit_brownspot,0.915509,0.631836,0.603516,0.361328,0.449219
288,ID_B3E2VYEA,fruit_healthy,0.969148,0.442383,0.507812,0.427734,0.363281
289,ID_ZNDNT7DU,fruit_healthy,0.971343,0.460938,0.571289,0.445312,0.353516
290,ID_O38T5RPV,fruit_brownspot,0.777566,0.508789,0.663086,0.408203,0.505859
291,ID_XAPA2MLT,fruit_healthy,0.329361,0.154297,0.835938,0.308594,0.328125
292,ID_XAPA2MLT,fruit_brownspot,0.606667,0.155273,0.835938,0.310547,0.328125
293,ID_XAPA2MLT,fruit_brownspot,0.818932,0.545898,0.583984,0.474609,0.65625
